                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.98182,                 1.2367,                  1.403,                0.44218,                0.71953,                0.55458,                0.39665,                 1.1017,                 1.3029,                 1.6048,             0.00051706,             0.00051706,             0.00051706
                    110,                0.95487,                 1.1852,                 1.3916,                 0.3793,                0.73849,                  0.447,                0.32016,                 1.0706,                  1.707,                 1.5933,             0.00051156,             0.00051156,             0.00051156
                    111,                0.97911,                   1.19,                 1.3976,                0.49336,                0.78732,                0.55851,                0.38577,                 1.1563,                 1.4365,                 1.7146,             0.00050606,             0.00050606,             0.00050606
                    112,                0.95482,                 1.1996,                 1.3786,                0.38287,                0.72817,                0.46306,                0.32271,                  1.039,                 1.5036,                 1.5999,             0.00050056,             0.00050056,             0.00050056
                    113,                0.96261,                 1.2084,                  1.405,                0.35395,                0.68161,                0.48129,                0.36093,                 1.0127,                  1.529,                 1.5598,             0.00049506,             0.00049506,             0.00049506
                    114,                0.95458,                  1.192,                 1.3797,                0.35582,                0.79168,                0.44147,                 0.3203,                 1.0101,                 2.0086,                 1.5564,             0.00048956,             0.00048956,             0.00048956
                    115,                0.96114,                 1.1614,                 1.3802,                 0.4057,                0.76742,                0.48638,                0.35521,                 1.0758,                 1.7267,                 1.6536,             0.00048406,             0.00048406,             0.00048406
                    116,                0.95935,                 1.1793,                 1.3853,                0.33665,                0.76648,                0.46785,                0.33997,                  1.104,                 1.5329,                 1.6258,             0.00047856,             0.00047856,             0.00047856
                    117,                0.96246,                 1.1576,                 1.3921,                0.35433,                0.65625,                0.50504,                0.38051,                 1.0117,                  1.562,                 1.5579,             0.00047306,             0.00047306,             0.00047306
                    118,                0.93947,                 1.1895,                 1.3665,                0.43251,                0.79008,                0.51387,                0.37764,                 1.0099,                 1.5604,                 1.5751,             0.00046756,             0.00046756,             0.00046756
                    119,                0.94553,                  1.182,                  1.371,                0.32274,                0.66024,                0.49258,                0.35834,                 1.0185,                 1.4746,                 1.5511,             0.00046206,             0.00046206,             0.00046206
                    120,                0.94967,                 1.1763,                  1.366,                0.41078,                0.73696,                0.53915,                0.41771,                0.90844,                  1.492,                 1.4004,             0.00045657,             0.00045657,             0.00045657
                    121,                0.94553,                  1.137,                 1.3629,                0.36144,                0.78674,                0.47378,                0.35692,                0.98326,                 1.6891,                 1.5119,             0.00045107,             0.00045107,             0.00045107
                    122,                0.91463,                 1.1526,                 1.3667,                 0.3609,                0.67421,                0.49794,                0.37744,                0.98175,                 1.5316,                 1.5011,             0.00044557,             0.00044557,             0.00044557
                    123,                 0.9421,                 1.1173,                  1.373,                0.32224,                0.76224,                0.49311,                0.38269,                0.92897,                 1.5369,                 1.4703,             0.00044007,             0.00044007,             0.00044007
                    124,                 0.9525,                 1.1784,                 1.3746,                0.30747,                0.75829,                0.49327,                0.37835,                0.96123,                 1.6417,                 1.4894,             0.00043457,             0.00043457,             0.00043457
                    125,                0.90955,                 1.1303,                   1.36,                0.36442,                0.79731,                0.50085,                0.37278,                 1.0319,                 1.6087,                 1.5825,             0.00042907,             0.00042907,             0.00042907
